id,created_at,updated_at,activity,reference,expiry,userId
1126,2021-04-08 20:35:22.392986,2021-04-08 20:35:22.392986,Logged in,6441e6c6443f6ece1868b5ffca83d45a,2022-04-09 02:35:22,111
1127,2021-04-08 21:12:33.666714,2021-04-08 21:12:33.666714,Logged in,14f62242adc7d462cb22119840231486,2022-04-09 03:12:34,111
1128,2021-04-08 21:12:35.533322,2021-04-08 21:12:35.533322,Accessed Session 6 Recap from Intro to Game Dev with Unity repo [access:1d9bec2ad95::rrtGJAd2ae1e],27b8e57455e1cc926dafdde757555abc,2022-04-09 03:12:36,111
1129,2021-04-09 13:42:41.610992,2021-04-09 13:42:41.610992,Logged in,8f86c3c54fc3b92ad22a7547af039302,2022-04-09 19:42:42,106
1130,2021-04-09 13:42:59.996112,2021-04-09 13:42:59.996112,Accessed Session 6 - Starter Files from Intro to Game Dev with Unity repo [access:4ff849da461::rrtGJAd2ae1e],725068a41888a7c3dcd022633e665b3c,2022-04-09 19:43:00,106
1131,2021-04-09 13:43:36.345370,2021-04-09 13:43:36.345370,Accessed Session 6 Recap from Intro to Game Dev with Unity repo [access:1d9bec2ad95::rrtGJAd2ae1e],4e7e43a94f1466e62dd5fecbbdf49a7b,2022-04-09 19:43:36,106
1132,2021-04-09 13:46:13.557782,2021-04-09 13:46:13.557782,Logged in,12785f30fbd1ea7d6deecaa8242dfdbd,2022-04-09 19:46:14,106
1133,2021-04-09 13:46:28.733212,2021-04-09 13:46:28.733212,Accessed Session 5 Recap from Intro to Game Dev with Unity repo [access:f2ec33fafc6::rrtGJAd2ae1e],d4d606cbe1467799f8d7c375e888ce64,2022-04-09 19:46:29,106
1134,2021-04-10 12:41:32.237198,2021-04-10 12:41:32.237198,Logged in,0ba2bfa661131781aabe4f036cc503fb,2022-04-10 19:41:32,2
1135,2021-04-10 14:46:30.944237,2021-04-10 14:46:30.944237,Logged in,365197565fa3782b550f3da197ea4be7,2022-04-10 21:46:31,2
1136,2021-04-10 15:53:58.042978,2021-04-10 15:53:58.042978,Logged in,036cd6cd96866b46b661be6f9bcd7481,2022-04-10 22:53:58,2
1137,2021-04-10 16:27:46.632830,2021-04-10 16:27:46.632830,Logged in,7e0ff370329f6a913bd57d3e48dc25b9,2022-04-10 23:27:47,2
1138,2021-04-10 16:58:03.681893,2021-04-10 16:58:03.681893,Logged in,277fcfeb72ed2637969203937226e360,2022-04-10 23:58:04,2
1139,2021-04-10 17:28:54.263005,2021-04-10 17:28:54.263005,Logged in,e819bbd3373d200bd4eeda82ff34529a,2022-04-11 00:28:54,2
1140,2021-04-11 12:52:09.212436,2021-04-11 12:52:09.212436,Logged in,836436d5fff48b8e5e8f2d4dd017a88b,2022-04-11 19:52:09,2
1141,2021-04-11 13:23:59.012224,2021-04-11 13:23:59.012224,Logged in,fc96513c12cdd98c52625553777e25fd,2022-04-11 20:23:59,2
1142,2021-04-11 14:00:58.470491,2021-04-11 14:00:58.470491,Logged in,8e068c021cea7393fdca98ebbf2b54b5,2022-04-11 21:00:58,2
1143,2021-04-11 14:14:35.836538,2021-04-11 14:14:35.836538,Logged in,212793607af350373714475a28f2b908,2022-04-11 20:14:36,2
1144,2021-04-11 20:54:51.959573,2021-04-11 20:54:51.959573,Logged in,a28b7ed60f9342ec621fef8291686384,2022-04-12 02:54:52,2
1145,2021-04-11 21:21:41.084566,2021-04-11 21:21:41.084566,Logged in,1fe3eb5b305d35ca0fcd421aa0d01364,2022-04-12 04:21:41,2
1146,2021-04-11 21:51:55.073929,2021-04-11 21:51:55.073929,Logged in,4333ebbb8de126ff16beac39495f2f2a,2022-04-12 04:51:55,2
1147,2021-04-11 22:22:26.261209,2021-04-11 22:22:26.261209,Logged in,d0dc46065e135a4e847d9e6635e90b44,2022-04-12 05:22:26,2
1148,2021-04-11 22:57:34.367626,2021-04-11 22:57:34.367626,Logged in,e2970978628b74561dacdc9d6fdf6f23,2022-04-12 05:57:34,2
